run_results (1)
restuarant_name,restuarant_type,restuarant_no_of_review,restuarant_telephone,restuarant_address,restuarant_opening_hour,restuarant_rating
Le Pain Quotidien Elements,Cafe,192 reviews,+852 2521 1377,"No.1 Austin Road West, Tsim Sha Tsui | Shop 1089C, 1/F , Elements, Hong Kong, China",7:00 AM - 9:00 PM,5
La Brata,Italian,228 reviews,+852 9080 7859,"G/F, 11 Old Bailey Street, Soho, Central, Hong Kong, China",,4.5
Uma Nota,Street Food,207 reviews,+852 2889 7576,,,4.5
DiVino Wine Bar & Restaurant,Italian,358 reviews,+852 2167 8883,"73 Wyndham Street, Central, Hong Kong, China",,4.5
Cafe Gray Deluxe,International,"1,320 reviews",+852 3968 1106,"L49 The Upper House, Pacific Place, No.88 Queensway, Admiralty, Hong Kong, China",,4.5
Bombay Dreams,Indian,645 reviews,+852 2971 0001,,6:00 PM - 11:00 PM,4.5
Capo,Italian,721 reviews,+852 2523 9009,"Shop 4C-D, Tower 1, PL/F., China Hong Kong City, Hong Kong, China",12:00 PM - 11:00 PM,4.5
DiVino Patio,Italian,380 reviews,+852 2877 3552,"Shop 11, 1/F, Causeway Centre, No. 28 Harbour Road, Hong Kong, China",12:00 PM - 10:30 PM,4.5
2DP,Cafe,177 reviews,+852 3705 9590,"12-12A Hau Fook Street, Tsim Sha Tsui | G/F, The Lamma Tower,, Hong Kong, China",,4.5
Man Wah,Chinese,489 reviews,+852 2825 4003,"5 Connaught Road Central | Central, Hong Kong 000000, China",6:30 PM - 10:00 PM,4.5
Manakamana Nepali Restaurant,Indian,361 reviews,+852 2385 2070,"G/F, 165 Temple Street, Jordan, Hong Kong, China",,4.5
Gough's on Gough,European,135 reviews,+852 2473 9066,,,4.5
Tosca,Italian,"1,022 reviews",+852 2263 2270,"1 Austin Road West | International Commerce Centre,, Hong Kong, China",6:30 PM - 10:30 PM,4.5
Sangeetha Vegetarian Restaurant Hong Kong,Indian,284 reviews,+852 2640 2123,"Shop No.1-5&31, Upper Ground Floor, Wing On Plaza, No.62 Mody Road, Tsim Sha Tsui, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Carpaccio Pasta Pizza Vino,Italian,356 reviews,+852 2328 5202,"Shop 307, 3rd Floor, iSQUARE, No.63 Nathan Road, Tsim Sha Tsui, Hong Kong, China",11:30 AM - 11:00 PM,4.5
Yan Toh Heen (InterContinental Hong Kong),Chinese,585 reviews,+852 2313 2323,"18 Salisbury Road, Tsim Sha Tsui | InterContinental Hong Kong,, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Scarlett Cafe & Wine Bar,French,557 reviews,+852 3565 6513,"G/F, 2 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong, China",,4.5
Gaddi's,French,254 reviews,+852 2696 6763,"1/F, The Peninsula Hotel, Salisbury Road, | Tsim Sha Tsui, Hong Kong, China",7:00 PM - 10:30 PM,4.5
Amber at The Landmark Mandarin Oriental,French,988 reviews,+852 2132 0066,"The Landmark, 15 Queen's Road Central, Hong Kong, China",6:00 PM - 9:30 PM,4.5
Tin Lung Heen,Chinese,"1,226 reviews",+852 2263 2270,"1 Austin Road West | 102/F, The Ritz-Carlton, International Commerce Centre, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Harbourside Restaurant,Seafood,553 reviews,+852 2313 2323,"18 Salisbury Road | InterContinental HongKong, Hong Kong, China",,4.5
Passion by Gerard Dubois on Mody Road,French,151 reviews,+852 2721 1866,"Shop A, G/F, Lyton Building, No.32-48 Mody Road, Tsim Sha Tsui, Hong Kong, China",,4.5
Din Tai Fung (Silvercord),Chinese,"1,523 reviews",+852 2730 6928,"3/F, Silvercord, No.30 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",11:30 AM - 10:00 PM,4.5
Grissini (Grand Hyatt Hong Kong),Italian,328 reviews,+852 2584 7722,,6:30 PM - 10:30 PM,4.5
Passion by Gerard Dubois,French,306 reviews,02529-1311,"Shop 1, G/F Fraser Suites, 74-78 Johnston Road, Wan Chai, Hong Kong, China",8:00 AM - 10:00 PM,4.5
Pirata,Italian,737 reviews,+852 2887 0270,"30/F, No. 239 Hennessy Road | Wan Chai, Hong Kong Wan Chai, China",6:30 PM - 10:30 PM,4.5
Petrus,French,300 reviews,+852 2820 8590,"Level 56, Island Shangri-La Hong Kong, Pacific Place, Supreme Court Road, Central | 56/F, Island Shangri-La Hong Kong, Phrase 2,Pacific Place,, Hong Kong, China",6:30 PM - 11:00 PM,4.5
L'Atelier de Joel Robuchon,French,752 reviews,+852 2166 9000,"15 Queen's Road Central, Hong Kong, China",,4.5
8 1/2 Otto e Mezzo Bombana,Italian,469 reviews,+852 2537 8859,"202 Alexandra, 18 House Chater Rd.Central, Hong Kong, China",6:30 PM - 10:30 PM,4.5
Kitchen (W Hotel Hong Kong),European,597 reviews,+852 3717 2299,"1 Austin Road West,Kowloon | 6/F, W Hong Kong, Hong Kong, China",6:00 AM - 11:00 PM,4.5
"Clipper Lounge - Mandarin Oriental, Hong Kong",International,485 reviews,+852 2825 4007,"5 Connaught Road Central | Central, Hong Kong 000000, China",6:30 AM - 10:00 PM,4.5
The Pier - Cathay Pacific Lounge,Asian,171 reviews,+ Add phone number,,,4.5
Angelini,Italian,356 reviews,+852 2733 8750,"Mezzanine Level, Kowloon Shangri-La Hong Kong | 64 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China",6:30 PM - 10:30 PM,4.5
The Verandah Restaurant(Tsim Sha Tsui),International,410 reviews,+852 2696 6766,"1/F, The Peninsula Hong Kong, 19-21 Nathan Road, Tsim Sha Tsui, Hong Kong, China",6:00 PM - 10:00 PM,4.5
Bread Street Kitchen & Bar,European,770 reviews,+852 2230 1800,"Level M, LKF Hotel, 33 Wyndham Street, Central, Hong Kong, China",12:00 PM - 11:00 PM,4
Komune,European,189 reviews,+852 3460 8157,,6:30 AM - 11:00 PM,4.5
VEA Restaurant and Lounge,European,130 reviews,+852 2711 8639,"29-30/F, The Wellington, No.198 Wellington Street, Central, Hong Kong, China",,4.5
Namaste Kitchen,Indian,165 reviews,+852 2795 7555,"G/F, No.38 Queens Road West, Sheung Wan, Hong Kong, China",6:00 PM - 11:00 PM,4.5
The Cafe,Chinese,196 reviews,+852 2369 1111,"20 Nathan Road, Tsim Sha Tsui | 2/F, Sheraton Hong Kong Hotel & Towers, Hong Kong, China",6:30 AM - 11:30 PM,4.5
Monogamous,Chinese,290 reviews,+852 2523 2872,"59 Caine Road, Soho, Hong Kong, China",,4.5
The Market,Seafood,808 reviews,+852 3400 1388,"Level 2, Hotel Icon, 17 Scien Museum Road, Tsim Sha Tsui East | Tsim Sha Tsui East, Kowloon,, Hong Kong, China",6:30 PM - 10:00 PM,4.5
"Nicholini's, Conrad Hong Kong",Italian,237 reviews,+852 2822 8801,,6:30 PM - 10:30 PM,4.5
Ho Lee Fook,Taiwanese,887 reviews,+852 2810 0860,"G/F, No.1-5 Elgin Street, SoHo, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Celestial Court Chinese Restaurant,Chinese,200 reviews,+852 2369 1111,"20 Nathan Road, Kowloon | 2/F, Sheraton Hong Kong Hotel & Towers, Hong Kong, China",6:00 PM - 11:00 PM,4.5
The Lounge & Bar,International,717 reviews,+852 2263 2270,"1 Austin Road West | International Commerce Centre,, Hong Kong, China",,4.5
Lung King Heen,Chinese,891 reviews,+852 3196 8888,,6:30 PM - 10:00 PM,4.5
Ayuthaiya,Asian,171 reviews,+852 3105 5055,"35 Hollywood Road, Hong Kong, China",,4
Chachawan,Asian,382 reviews,+852 2549 0020,"206 Hollywood Road, Hong Kong 00852, China",,4.5
Caprice (Central),French,781 reviews,+852 3196 8860,"6F, Four Seasons Hotel, Central | Four Seasons Hotel Hong Kong, Hong Kong, China",6:30 PM - 10:30 PM,4.5
Cafe 103,Seafood,408 reviews,+852 2263 2270,"1 Austin Road West | International Commerce Centre,, Hong Kong 852, China",6:30 PM - 10:00 PM,4.5
The Chairman,Chinese,368 reviews,+852 2555 2202,"No.18 Kau U Fong, Central, Hong Kong, China",6:00 PM - 11:00 PM,4.5
JW Cafe,Chinese,266 reviews,+852 2810 8366,"5/F, JW Marriott Hotel Hong Kong, Pacific Place, No.88 Queensway, Hong Kong, China",,4.5
"Aqua Roma, Aqua Tokyo & Aqua Spirit",Italian,"2,881 reviews",+852 3427 2288,"29/F & 30/F, 1 Peking Road, Tsim Sha Tsui, Hong Kong, China",,4.5
Le Souk,Moroccan,201 reviews,+852 2522 2128,"4 Staunton St, Hong Kong, China",,4.5
Mistral - Passionately Italian,Italian,201 reviews,+852 2731 2870,"InterContinental Grand Stanford Hong Kong | B2 Level, 70 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, China",7:00 PM - 11:00 PM,4.5
Mirage Bar & Restaurant,European,186 reviews,+852 2802 8888,"1/F, Renaissance Harbour View Hotel Hong Kong, 1 Harbour Road, Hong Kong, China",,4.5
Above and beyond,Chinese,727 reviews,+852 3400 1318,"17 Science Museum Road, Tsim Sha Tsui East, Kowloon,, Hong Kong, China",6:00 PM - 10:30 PM,4.5
"Pierre - Mandarin Oriental, Hong Kong",French,353 reviews,+852 2825 4001,"5 Connaught Road Central | Central, Hong Kong 000000, China",6:30 PM - 10:00 PM,4.5
Giando Italian Restaurant & Bar,Italian,358 reviews,+852 2511 8912,"Shop 1, G/F Tower 1 Starcrest, 9 Star Street, Wanchai | Near pacific place 3, Hong Kong NA, China",6:00 PM - 10:30 PM,4.5
Lobby Lounge (InterContinental Hong Kong),Healthy,571 reviews,+852 2313 2323,"No.18 Salisbury Road, Tsim Sha Tsui | InterContinental Hong Kong, Hong Kong, China",,4.5
Motorino,Italian,406 reviews,+852 2801 6881,"G/F, 14 Shelley Street, Central | 15 Ship Street, Wan Chai, Hong Kong, China",,4
La Creperie (Sheung Wan),French,285 reviews,+852 2679 4666,"G/F, 69 Jervois Street, Sheung Wan, Hong Kong, China",11:30 AM - 11:00 PM,4.5
Pure Veggie House,Chinese,161 reviews,+852 2525 0552,"3/F, Coda Plaza, 51 Garden Road, Central, Hong Kong, China",11:00 AM - 10:30 PM,4.5
Alto Bar and Grill,Steakhouse,218 reviews,+852 2603 7181,"18 Tang Lung Street | 31/F, V Point, Hong Kong, China",6:00 AM - 11:00 PM,4.5
22 Ships,European,546 reviews,+852 2555 0722,"No.22 Ship Street, Wan Chai, Hong Kong, China",6:00 PM - 11:00 PM,4.5
One Harbour Road (Grand Hyatt Hong Kong),Chinese,322 reviews,+852 2854 7722,,6:30 PM - 10:30 PM,4.5
Cafe Renaissance,Asian,270 reviews,+852 2802 8888,"Mezzanine Floor, No.1 Harbour Road, Wan Chai, Hong Kong, China",,4.5
cafe TOO,Asian,366 reviews,+852 2820 8571,"Level 7, Island Shangri-La Hotel, Supreme Court Road, Hong Kong, China",6:30 AM - 11:00 PM,4
Hutong,Chinese,"1,740 reviews",+852 3428 8342,"1 Peking Road, Tsim Sha Tsui | 28/f, Hong Kong, China",,4
Tokyolima,Japanese,190 reviews,+852 2811 1152,"G/F, 18 Lyndhurst Terrace, Central, Hong Kong, China",,4.5
Grassroots Pantry,Healthy,206 reviews,+852 2873 3353,"108 Hollywood Road | Centrestage, Sheung Wan, Hong Kong, China",5:30 PM - 11:00 PM,4
Le 188 Restaurant & Lounge,European,338 reviews,+852 2121 2693,"41/F, Harbour Grand Hong Kong, MTR Fortress Hill Station, Exit A, 23 Oil Street, North Point, Hong Kong, China",12:00 PM - 10:30 PM,4.5
Din Tai Fung (Yee Wo Branch),Chinese,"1,967 reviews",+852 3160 8998,"No.68 Yee Wo Street, Causeway Bay, Hong Kong, China",11:30 AM - 10:00 PM,4.5
